"","input","output","value"
"1606","561700/US","GSLGO/US",5.37054854448105e-05
"211","423A00/US","331510/US",5.36713187051022e-05
"1148","333612/US","336350/US",5.35865997049537e-05
"950","333414/US","333414/US",5.34407800097114e-05
"444","33131B/US","332310/US",5.34003456891616e-05
"1262","423800/US","3363A0/US",5.32714942740441e-05
"1372","332710/US","322299/US",5.31968771264966e-05
"637","3259A0/US","332600/US",5.31962455003455e-05
"1502","3259A0/US","326150/US",5.2703451746643e-05
"157","332800/US","33131B/US",5.26605025627279e-05
"807","518200/US","332800/US",5.26260544323337e-05
"1238","332710/US","3363A0/US",5.25707312949413e-05
"407","532400/US","332119/US",5.25217729942325e-05
"413","541610/US","332119/US",5.23266519243503e-05
"887","33399B/US","332999/US",5.22009617175182e-05
"1014","221100/US","33351B/US",5.20658052794686e-05
"611","331313/US","332600/US",5.17247328569296e-05
"85","212230/US","331200/US",5.16523956677522e-05
"764","230301/US","332800/US",5.15815771616832e-05
"965","326190/US","333511/US",5.15677094834605e-05
"1126","325211/US","336320/US",5.15069900263853e-05
"876","33211A/US","332999/US",5.14544644663723e-05
"928","5419A0/US","332999/US",5.12111099313854e-05
"88","230301/US","331200/US",5.10597553583713e-05
"1020","331490/US","33351B/US",5.10258578731576e-05
"1265","441000/US","3363A0/US",5.09174850985162e-05
"1145","331510/US","336350/US",5.0688963540782e-05
"1487","333415/US","326150/US",5.06254765678393e-05
"939","336320/US","333111/US",5.04864008221903e-05
"1031","335312/US","33351B/US",5.03382730074834e-05
"1134","484000/US","336320/US",5.02316898863004e-05
"137","561300/US","331200/US",5.00302435989027e-05
"701","541511/US","332710/US",5.0026219488155e-05
"779","33399A/US","332800/US",4.98492615090326e-05
"445","331420/US","332310/US",4.98394994416229e-05
"569","332114/US","332430/US",4.9808283084091e-05
"1187","332710/US","336370/US",4.97580352176227e-05
"938","333111/US","333111/US",4.97210943593354e-05
"1568","541300/US","562000/US",4.96697029431555e-05
"1041","531ORE/US","33351B/US",4.96612691106499e-05
"1052","550000/US","333612/US",4.96291192583695e-05
"209","331110/US","331510/US",4.95877702478206e-05
"677","S00300/US","332600/US",4.95805825852756e-05
"651","517110/US","332600/US",4.92436288573924e-05
"1007","33351B/US","333517/US",4.92325302959354e-05
"1022","331520/US","33351B/US",4.91893175276464e-05
"832","423800/US","332991/US",4.90931130610259e-05
"1335","325910/US","322230/US",4.90654109894934e-05
"333","561600/US","33211A/US",4.90538857513857e-05
"262","332800/US","332114/US",4.9034603813637e-05
"796","423800/US","332800/US",4.90165997170666e-05
"762","221200/US","332800/US",4.89506581272097e-05
"688","332720/US","332710/US",4.89412737003821e-05
"1382","326110/US","322299/US",4.88302381219108e-05
"596","332710/US","332500/US",4.88095318982237e-05
"1199","484000/US","336370/US",4.87824457349063e-05
"45","482000/US","321910/US",4.87548443950311e-05
"573","334413/US","332430/US",4.86809603371299e-05
"1352","524200/US","322230/US",4.86286593559017e-05
"789","325190/US","332800/US",4.86120401795506e-05
"1415","531ORE/US","323110/US",4.8509115552757e-05
"1244","334413/US","3363A0/US",4.84498914791066e-05
"829","331110/US","332991/US",4.84046459456114e-05
"682","33131B/US","332710/US",4.80769827114584e-05
"103","332800/US","331200/US",4.77722637994317e-05
"294","561300/US","332114/US",4.76431378231435e-05
"985","334413/US","333514/US",4.75202659544222e-05
"1460","531ORE/US","326120/US",4.74632022193777e-05
"369","335314/US","332119/US",4.73877847330561e-05
"686","332310/US","332710/US",4.73868920459978e-05
"619","332119/US","332600/US",4.73654562939689e-05
"631","332999/US","332600/US",4.73015255505966e-05
"1350","52A000/US","322230/US",4.7203855284607e-05
"533","334413/US","332420/US",4.71562736913053e-05
"125","52A000/US","331200/US",4.71231405304042e-05
"425","562000/US","332119/US",4.7045549346153e-05
"1579","811200/US","562000/US",4.6977022795467e-05
"389","441000/US","332119/US",4.69752685407172e-05
"1392","541100/US","322299/US",4.69207673649084e-05
"375","324190/US","332119/US",4.69188674836505e-05
"978","332710/US","333514/US",4.68995338538999e-05
"1430","325190/US","326110/US",4.68653892650231e-05
"1089","333618/US","333618/US",4.67056656977549e-05
"1311","550000/US","322210/US",4.66501146927263e-05
"299","S00300/US","332114/US",4.66273630563303e-05
"894","322130/US","332999/US",4.65889463684469e-05
"767","331313/US","332800/US",4.64611578859693e-05
"1035","423A00/US","33351B/US",4.63683425255094e-05
"687","332710/US","332710/US",4.63204921694639e-05
"550","523A00/US","332420/US",4.63010518809877e-05
"56","113000/US","3219A0/US",4.62694727323999e-05
"720","332600/US","332720/US",4.6256619903714e-05
"169","523A00/US","33131B/US",4.6221602715708e-05
"1549","423800/US","562000/US",4.62210243306537e-05
"1177","424A00/US","336360/US",4.61117562143044e-05
"127","524200/US","331200/US",4.61011506245491e-05
"1510","423A00/US","326150/US",4.6064914864986e-05
"1286","332710/US","322210/US",4.60518281642942e-05
"189","322130/US","331410/US",4.60398717795924e-05
"621","332310/US","332600/US",4.60024898303536e-05
"1375","313300/US","322299/US",4.57740463282921e-05
"456","3259A0/US","332310/US",4.57679578711057e-05
"1359","541800/US","322230/US",4.55831858541932e-05
"477","327200/US","332320/US",4.55489960387596e-05
"526","332710/US","332420/US",4.55273513286138e-05
"1328","313300/US","322230/US",4.55255530265909e-05
"851","531ORE/US","332996/US",4.55127455656432e-05
"1113","331510/US","336320/US",4.54200425685034e-05
"854","331420/US","33299A/US",4.52699725440459e-05
"593","331490/US","332500/US",4.52331936247261e-05
"51","531ORE/US","321910/US",4.52287502591331e-05
"116","423600/US","331200/US",4.52255623472381e-05
"32","327200/US","321910/US",4.51160643155325e-05
"960","331520/US","333511/US",4.50930434675381e-05
"1066","333618/US","333613/US",4.48557485212674e-05
"1479","322210/US","326140/US",4.4842541678615e-05
"842","33291A/US","332996/US",4.47594398587259e-05
"83","482000/US","331110/US",4.4642150311934e-05
"448","332710/US","332310/US",4.45957235059424e-05
"274","424A00/US","332114/US",4.45512217009301e-05
"981","333511/US","333514/US",4.45265619801634e-05
"1384","424200/US","322299/US",4.45184766415634e-05
"24","484000/US","321200/US",4.44629331233896e-05
"1545","325190/US","562000/US",4.4422728010092e-05
"1290","322110/US","322210/US",4.43504242355376e-05
"250","331490/US","332114/US",4.40862216840921e-05
"1446","325190/US","326120/US",4.40487868497604e-05
"808","52A000/US","332800/US",4.4014850075662e-05
"889","334418/US","332999/US",4.40093292366941e-05
"1505","326150/US","326150/US",4.39969155842795e-05
"1189","332800/US","336370/US",4.39871353533489e-05
"1241","33291A/US","3363A0/US",4.39062774568264e-05
"476","221100/US","332320/US",4.38920809914404e-05
"134","541800/US","331200/US",4.38466238548074e-05
"678","221100/US","332710/US",4.36983068529562e-05
"1550","423A00/US","562000/US",4.36218828740956e-05
"310","333514/US","33211A/US",4.34712608414385e-05
"70","484000/US","3219A0/US",4.32127622864709e-05
"1090","336310/US","333618/US",4.3209820811678e-05
"589","550000/US","332430/US",4.32024900796297e-05
"233","484000/US","331520/US",4.31799348488398e-05
"282","523A00/US","332114/US",4.31558007852259e-05
"1217","326190/US","336390/US",4.31549753425776e-05
"287","541100/US","332114/US",4.31506542204487e-05
"302","230301/US","33211A/US",4.31059626772824e-05
"669","561700/US","332600/US",4.30537228164637e-05
"1401","322210/US","323110/US",4.29757005201495e-05
"1130","423800/US","336320/US",4.29652614397924e-05
"1142","561300/US","336320/US",4.29554570420872e-05
"661","541512/US","332600/US",4.29018117000485e-05
"994","484000/US","333514/US",4.28634910689726e-05
"130","541100/US","331200/US",4.28633470317299e-05
"1281","331110/US","337215/US",4.2823862138594e-05
"620","332200/US","332600/US",4.27101718524759e-05
"691","33351B/US","332710/US",4.27085419101667e-05
"1289","336390/US","322210/US",4.2574162451613e-05
"642","326290/US","332600/US",4.24659928303767e-05
"751","541800/US","332720/US",4.24063682077196e-05
"603","550000/US","332500/US",4.2161773647801e-05
"1386","482000/US","322299/US",4.21558829097769e-05
"825","33291A/US","33291A/US",4.21276647651903e-05
"257","332310/US","332114/US",4.20726726878683e-05
"1222","423800/US","336390/US",4.20697267441116e-05
"975","331510/US","333514/US",4.20293538108719e-05
"95","331420/US","331200/US",4.20248848605736e-05
"1408","326110/US","323110/US",4.2010383917393e-05
"93","33131B/US","331200/US",4.20065125332171e-05
"18","324110/US","321200/US",4.19698838605258e-05
"944","423800/US","333111/US",4.1962090397786e-05
"201","33131B/US","331490/US",4.19489477878985e-05
"1464","550000/US","326120/US",4.19422004376722e-05
"963","333514/US","333511/US",4.18798751275797e-05
"1419","322120/US","323120/US",4.18692505662101e-05
"1163","332119/US","336360/US",4.18163962486208e-05
"432","S00203/US","332119/US",4.17518242552956e-05
"1598","531ORE/US","GSLGO/US",4.1732113041466e-05
"398","517A00/US","332119/US",4.16706846926986e-05
"590","S00300/US","332430/US",4.16300811341619e-05
"439","221100/US","332310/US",4.16009103656962e-05
"1137","541100/US","336320/US",4.15264532028e-05
"473","561600/US","332310/US",4.13190556483528e-05
"859","322210/US","33299A/US",4.13003922309918e-05
"912","517110/US","332999/US",4.11972625092528e-05
"535","336390/US","332420/US",4.10304701062994e-05
"1592","517110/US","GSLGO/US",4.09294816106423e-05
"787","325120/US","332800/US",4.09226311509619e-05
"1546","325610/US","562000/US",4.08685961236256e-05
"1348","518200/US","322230/US",4.08432047008054e-05
"1","331110/US","233230/US",4.07791768829123e-05
"1441","33329A/US","326120/US",4.07279620230714e-05
"1110","331110/US","336320/US",4.05977467644574e-05
"1564","532400/US","562000/US",4.05727063014271e-05
"174","550000/US","33131B/US",4.05013150041565e-05
"752","5419A0/US","332720/US",4.04721927449235e-05
"597","332720/US","332500/US",4.02853506334296e-05
"1511","424200/US","326150/US",4.02620346036213e-05
"1179","550000/US","336360/US",4.01707349992481e-05
"1458","52A000/US","326120/US",4.01389565115118e-05
"160","322210/US","33131B/US",4.01259011763569e-05
"979","332720/US","333514/US",4.01176300101926e-05
"268","324110/US","332114/US",4.00722575308343e-05
"307","332710/US","33211A/US",4.00635087343029e-05
"587","531ORE/US","332430/US",3.99708055297877e-05
"731","423600/US","332720/US",3.98482014725482e-05
"920","533000/US","332999/US",3.98053916199842e-05
"1277","314900/US","336500/US",3.97937976358634e-05
"1399","315000/US","323110/US",3.97839288308055e-05
"1149","33441A/US","336350/US",3.97796693516819e-05
"1524","326110/US","326160/US",3.97611538885262e-05
"911","493000/US","332999/US",3.97229737017874e-05
"532","33399A/US","332420/US",3.97166864043669e-05
"117","423800/US","331200/US",3.97101563740059e-05
"1001","541511/US","333514/US",3.96103872064586e-05
"224","332800/US","331520/US",3.95236158180611e-05
"326","531ORE/US","33211A/US",3.95212667410119e-05
"809","523A00/US","332800/US",3.94658624651538e-05
"632","334413/US","332600/US",3.93542333632134e-05
"1445","325180/US","326120/US",3.93310496328335e-05
"549","52A000/US","332420/US",3.92006964388628e-05
"155","331420/US","33131B/US",3.90476373014316e-05
"67","326190/US","3219A0/US",3.89859159097214e-05
"1582","S00203/US","562000/US",3.89481887910024e-05
"1515","484000/US","326150/US",3.88898732451969e-05
"1161","321200/US","336360/US",3.88499870032158e-05
"765","327910/US","332800/US",3.881012764511e-05
"457","423800/US","332310/US",3.87570167449443e-05
"33","327993/US","321910/US",3.87452719082595e-05
"650","493000/US","332600/US",3.87086033195496e-05
"291","541800/US","332114/US",3.86888723013868e-05
"472","561400/US","332310/US",3.86692596015354e-05
"790","325211/US","332800/US",3.84626383784902e-05
"934","811300/US","332999/US",3.84385202440258e-05
"1519","531ORE/US","326150/US",3.82362941811626e-05
"555","541300/US","332420/US",3.81946403195102e-05
"1279","423A00/US","336500/US",3.81827476494123e-05
"1506","326220/US","326150/US",3.80420890010568e-05
"252","331520/US","332114/US",3.80107918875085e-05
"1578","811100/US","562000/US",3.78855047612724e-05
"536","322210/US","332420/US",3.78582150621044e-05
"182","327100/US","331410/US",3.77644538381069e-05
"1136","531ORE/US","336320/US",3.7731586172653e-05
"852","550000/US","332996/US",3.77096790136061e-05
"1323","3219A0/US","322230/US",3.7635854119806e-05
"135","5419A0/US","331200/US",3.75853834437704e-05
"41","3252A0/US","321910/US",3.75782513934407e-05
"1396","221100/US","323110/US",3.75694586763776e-05
"1294","324110/US","322210/US",3.75535241940632e-05
"1082","561300/US","333613/US",3.75481718306566e-05
"1275","332720/US","336500/US",3.75389357039554e-05
"592","33131B/US","332500/US",3.74494821275863e-05
"759","811300/US","332720/US",3.74333726297282e-05
"1229","221100/US","3363A0/US",3.72458167489254e-05
"1530","221100/US","562000/US",3.71843642872583e-05
"1024","333517/US","33351B/US",3.7153935830446e-05
"1196","423800/US","336370/US",3.71456821266856e-05
"7","423A00/US","321100/US",3.71135216440804e-05
"547","518200/US","332420/US",3.70952171699929e-05
"1509","423800/US","326150/US",3.70774391668938e-05
"959","331510/US","333511/US",3.70610701795858e-05
"1236","332114/US","3363A0/US",3.70412896061063e-05
"581","424A00/US","332430/US",3.69501687407614e-05
"923","541512/US","332999/US",3.69336185184867e-05
"406","532100/US","332119/US",3.67464738849961e-05
"1525","424A00/US","326160/US",3.67394859945441e-05
"662","541200/US","332600/US",3.6645203407161e-05
"1373","332800/US","322299/US",3.65870070315761e-05
"338","221300/US","332119/US",3.65275587653071e-05
"848","484000/US","332996/US",3.64686489618179e-05
"1287","332800/US","322210/US",3.64412877589858e-05
"461","518200/US","332310/US",3.63975241440689e-05
"512","33131B/US","332410/US",3.63025907537118e-05
"827","423A00/US","33291A/US",3.62770364478668e-05
"554","541100/US","332420/US",3.6229251755537e-05
"958","33131B/US","333511/US",3.62206972605826e-05
"1358","541300/US","322230/US",3.62084428564601e-05
"871","331410/US","332999/US",3.61516152202028e-05
"133","541300/US","331200/US",3.59463783961393e-05
"758","561900/US","332720/US",3.59175287371668e-05
"1538","333613/US","562000/US",3.58968490991709e-05
"1154","423100/US","336350/US",3.58842190939616e-05
"1595","522A00/US","GSLGO/US",3.58729035964539e-05
"1307","52A000/US","322210/US",3.58715681805311e-05
"1480","325180/US","326140/US",3.58038087167681e-05
"709","327910/US","332720/US",3.56509629950612e-05
"237","524200/US","331520/US",3.55937409498037e-05
"1531","221300/US","562000/US",3.55885748349561e-05
"931","561700/US","332999/US",3.55444902228473e-05
"1514","482000/US","326150/US",3.55428658247239e-05
"924","541200/US","332999/US",3.55151548284084e-05
"1172","326150/US","336360/US",3.54462979510924e-05
"1501","325520/US","326150/US",3.54174695815033e-05
"976","331520/US","333514/US",3.53401037600093e-05
"974","331490/US","333514/US",3.53165173375336e-05
"977","332119/US","333514/US",3.52693094247151e-05
"86","2122A0/US","331200/US",3.51675674761139e-05
"1469","325180/US","326130/US",3.51010922423033e-05
"1494","322220/US","326150/US",3.50654434751168e-05
"1406","325190/US","323110/US",3.50457678608036e-05
"1421","322220/US","323120/US",3.4995932704918e-05
"1246","33441A/US","3363A0/US",3.49881167851611e-05
"1417","561300/US","323110/US",3.47478327878334e-05
"1459","524200/US","326120/US",3.46729639914695e-05
"1261","423600/US","3363A0/US",3.45293414316158e-05
"236","523A00/US","331520/US",3.44968500606072e-05
"187","334413/US","331410/US",3.44454640763756e-05
"647","481000/US","332600/US",3.44431229168459e-05
"1036","484000/US","33351B/US",3.43712903946684e-05
"1219","326290/US","336390/US",3.43360498706192e-05
"1047","333611/US","333611/US",3.42027434665632e-05
"1474","326130/US","326130/US",3.40726771197106e-05
"54","541800/US","321910/US",3.40380332166214e-05
"639","326120/US","332600/US",3.4011475239728e-05
"2","113000/US","321100/US",3.38677008478172e-05
"438","550000/US","332200/US",3.386431738139e-05
"1274","332600/US","336500/US",3.38301645197679e-05
"1534","333120/US","562000/US",3.37633068050154e-05
"210","331410/US","331510/US",3.37409149539503e-05
"1599","541100/US","GSLGO/US",3.37152414559465e-05
"168","52A000/US","33131B/US",3.36814335826718e-05
"1086","331510/US","333618/US",3.36497445803108e-05
"750","541300/US","332720/US",3.36367312166507e-05
"1158","441000/US","336350/US",3.36174815762612e-05
"729","322210/US","332720/US",3.36049825675803e-05
"1169","3252A0/US","336360/US",3.35991821182116e-05
"272","423800/US","332114/US",3.35850006174016e-05
"199","331110/US","331490/US",3.35475447109743e-05
"1553","481000/US","562000/US",3.33446247845299e-05
"1539","333920/US","562000/US",3.33365983461835e-05
"984","33399B/US","333514/US",3.3253848619047e-05
"1314","322120/US","322220/US",3.32002234387577e-05
"953","325510/US","333414/US",3.31947455944788e-05
"1040","524200/US","33351B/US",3.31142967631998e-05
"834","221100/US","332996/US",3.31004959651174e-05
"543","424A00/US","332420/US",3.3098828812703e-05
"1542","336390/US","562000/US",3.29804385438967e-05
"895","322210/US","332999/US",3.29591159003878e-05
"1104","423100/US","336310/US",3.28801759981803e-05
"1521","221100/US","326160/US",3.28763652998471e-05
"1042","541100/US","33351B/US",3.2851380667772e-05
"875","331520/US","332999/US",3.28353782042528e-05
"917","524200/US","332999/US",3.27936928097897e-05
"1203","331520/US","336390/US",3.27525285277984e-05
"864","221200/US","332999/US",3.26495297258056e-05
"1306","518200/US","322210/US",3.26396058318622e-05
"165","482000/US","33131B/US",3.26230356989237e-05
"968","531ORE/US","333511/US",3.25671654751968e-05
"814","541800/US","332800/US",3.23704538057398e-05
"578","423600/US","332430/US",3.23545243351019e-05
"1180","221100/US","336370/US",3.23331479585437e-05
"119","424A00/US","331200/US",3.23016734111599e-05
"266","335314/US","332114/US",3.22257871739409e-05
"607","221200/US","332600/US",3.22006223400103e-05
"819","811300/US","332800/US",3.21451728110913e-05
"1242","332991/US","3363A0/US",3.21170025012491e-05
"1166","313300/US","336360/US",3.20770160379333e-05
"746","533000/US","332720/US",3.20569151632962e-05
"1573","561700/US","562000/US",3.20439032308164e-05
"755","561700/US","332720/US",3.20254700289608e-05
"648","482000/US","332600/US",3.19012093878517e-05
"742","524200/US","332720/US",3.18834303160874e-05
"1103","3363A0/US","336310/US",3.18037344591432e-05
"1428","221100/US","326110/US",3.16581909606053e-05
"748","541512/US","332720/US",3.1628596102872e-05
"879","332320/US","332999/US",3.15718625048319e-05
"1340","423800/US","322230/US",3.1539847039391e-05
"197","221100/US","331490/US",3.15358047893489e-05
"680","331200/US","332710/US",3.15281600381636e-05
"1337","326120/US","322230/US",3.1454119844477e-05
"1507","423400/US","326150/US",3.14476947944984e-05
"1109","221100/US","336320/US",3.14372402869913e-05
"386","424200/US","332119/US",3.14175190651893e-05
"1327","334418/US","322230/US",3.14161474676217e-05
"140","811300/US","331200/US",3.14091617781296e-05
"952","322210/US","333414/US",3.13926938281944e-05
"427","722110/US","332119/US",3.13690982616678e-05
"428","722211/US","332119/US",3.13440931312287e-05
"394","485000/US","332119/US",3.1313729249565e-05
"92","331313/US","331200/US",3.1308303411698e-05
"1517","493000/US","326150/US",3.12625394226478e-05
"39","336390/US","321910/US",3.12537125918546e-05
"962","333511/US","333511/US",3.12522402483688e-05
"1569","541610/US","562000/US",3.11364467164826e-05
"1150","336320/US","336350/US",3.11013720266998e-05
"922","541511/US","332999/US",3.10931606242082e-05
"1486","221100/US","326150/US",3.10534070293474e-05
"504","541300/US","332320/US",3.1050072809756e-05
"562","561900/US","332420/US",3.10476282488216e-05
"1312","561700/US","322210/US",3.10435992726885e-05
"820","812300/US","332800/US",3.10408939196228e-05
"1206","333613/US","336390/US",3.10227625584161e-05
"1214","325211/US","336390/US",3.09903369301017e-05
"635","322210/US","332600/US",3.08864733839951e-05
"1315","322130/US","322220/US",3.08800631520362e-05
"222","332114/US","331520/US",3.08550578948415e-05
"148","212100/US","33131B/US",3.08126642983046e-05
"436","423A00/US","332200/US",3.07774947499312e-05
"728","334418/US","332720/US",3.06739398840696e-05
"551","524200/US","332420/US",3.05875531932255e-05
"818","562000/US","332800/US",3.05743409974553e-05
"1309","541300/US","322210/US",3.05531597338798e-05
"150","230301/US","33131B/US",3.04573550211694e-05
"279","517110/US","332114/US",3.04451664656655e-05
"1067","334413/US","333613/US",3.03548619690975e-05
"1258","326190/US","3363A0/US",3.0351354514067e-05
"323","52A000/US","33211A/US",3.03288250553648e-05
"226","33329A/US","331520/US",3.0312387441991e-05
"295","561700/US","332114/US",3.02885992060856e-05
"482","331510/US","332320/US",3.02396106046064e-05
"496","424A00/US","332320/US",3.01966405024251e-05
"251","331510/US","332114/US",3.0183070182396e-05
"1570","541800/US","562000/US",3.01691305219622e-05
"315","3259A0/US","33211A/US",3.01588815943632e-05
"331","561200/US","33211A/US",3.01474002184186e-05
"162","423600/US","33131B/US",3.00979620308072e-05
"1224","484000/US","336390/US",3.0096156212054e-05
"840","332710/US","332996/US",3.00078604003311e-05
"115","326190/US","331200/US",2.99805491498321e-05
"624","332430/US","332600/US",2.99742443401804e-05
"229","333517/US","331520/US",2.99734848121323e-05
"544","482000/US","332420/US",2.99551390978417e-05
"1102","336390/US","336310/US",2.99064754425739e-05
"1339","423400/US","322230/US",2.98928051695579e-05
"956","221100/US","333511/US",2.98888012263722e-05
"463","523A00/US","332310/US",2.98789640774061e-05
"1146","331520/US","336350/US",2.97370934326212e-05
"503","541100/US","332320/US",2.97014680295726e-05
"1425","531ORE/US","323120/US",2.96482037686549e-05
"71","493000/US","3219A0/US",2.96317762717123e-05
"777","333920/US","332800/US",2.96224718967343e-05
"1565","541100/US","562000/US",2.96178395450776e-05
"902","326220/US","332999/US",2.96160032074925e-05
"1576","721000/US","562000/US",2.94038628068424e-05
"35","332500/US","321910/US",2.93572998277371e-05
"815","5419A0/US","332800/US",2.93514124569986e-05
"585","52A000/US","332430/US",2.93499026574285e-05
"1176","423A00/US","336360/US",2.9307179192483e-05
"1054","230301/US","333613/US",2.93053587273389e-05
"465","541100/US","332310/US",2.92732812462049e-05
"527","332720/US","332420/US",2.9232531358793e-05
"301","221200/US","33211A/US",2.91557000097718e-05
"99","332320/US","331200/US",2.91296596119496e-05
"5","321910/US","321100/US",2.91009981920201e-05
"856","332710/US","33299A/US",2.89417979403885e-05
"290","541300/US","332114/US",2.8914346904082e-05
"1440","332800/US","326120/US",2.89110419338439e-05
"672","561900/US","332600/US",2.88958174826692e-05
"1000","541100/US","333514/US",2.88804830751062e-05
"1019","33131B/US","33351B/US",2.88121057053642e-05
"692","335312/US","332710/US",2.86948852231544e-05
"991","423600/US","333514/US",2.86357810271613e-05
"738","517110/US","332720/US",2.85934027182636e-05
"961","332710/US","333511/US",2.84049630876471e-05
"1381","325520/US","322299/US",2.83840301174209e-05
"1087","331520/US","333618/US",2.82735012536728e-05
"671","561600/US","332600/US",2.82690617315038e-05
"221","331510/US","331520/US",2.82588485773826e-05
"1250","336370/US","3363A0/US",2.8201905457167e-05
"1495","324110/US","326150/US",2.81637337314761e-05
"540","423600/US","332420/US",2.8056872462115e-05
"618","33211A/US","332600/US",2.8056617935087e-05
"74","212100/US","331110/US",2.80348842349801e-05
"52","541100/US","321910/US",2.79763908684252e-05
"1091","326190/US","333618/US",2.7965089394115e-05
"656","5241XX/US","332600/US",2.79452025221279e-05
"110","322210/US","331200/US",2.78623308927139e-05
"855","33211A/US","33299A/US",2.78576015909568e-05
"557","5419A0/US","332420/US",2.77867727572346e-05
"824","331510/US","33291A/US",2.7764175224626e-05
"988","336370/US","333514/US",2.77575099751869e-05
"515","423A00/US","332410/US",2.76836329598865e-05
"454","336390/US","332310/US",2.75933398385169e-05
"1191","335920/US","336370/US",2.75923868007753e-05
"697","484000/US","332710/US",2.75526538718249e-05
"1159","550000/US","336350/US",2.75332848249515e-05
"12","332710/US","321200/US",2.7527563212424e-05
"1139","541610/US","336320/US",2.74919987282912e-05
"1527","325211/US","326190/US",2.7482501910564e-05
"1048","331110/US","333612/US",2.74520093864854e-05
"1107","441000/US","336310/US",2.73986207799497e-05
"1088","33211A/US","333618/US",2.73597838531675e-05
"505","541800/US","332320/US",2.73117620886772e-05
"1157","423A00/US","336350/US",2.72108493737794e-05
"966","423800/US","333511/US",2.71764440532042e-05
"311","334413/US","33211A/US",2.71651230779549e-05
"97","332114/US","331200/US",2.71390252416376e-05
"685","33211A/US","332710/US",2.71195536047826e-05
"459","482000/US","332310/US",2.70899348548716e-05
"1257","325510/US","3363A0/US",2.70410435285074e-05
"263","33291A/US","332114/US",2.70334328126977e-05
"107","334413/US","331200/US",2.70188593445046e-05
"1254","322210/US","3363A0/US",2.70175541123166e-05
"450","332800/US","332310/US",2.70048890340935e-05
"1554","484000/US","562000/US",2.69421700817883e-05
"487","333318/US","332320/US",2.69269605721054e-05
"142","221100/US","331313/US",2.69169115416426e-05
"1009","335314/US","333517/US",2.68834307527929e-05
"161","324190/US","33131B/US",2.68758971057e-05
"177","561900/US","33131B/US",2.68692008069888e-05
"501","523A00/US","332320/US",2.68517890247497e-05
"441","327910/US","332310/US",2.68301414051621e-05
"1070","423600/US","333613/US",2.67995452365999e-05
"1026","33399B/US","33351B/US",2.67658168651291e-05
"292","5419A0/US","332114/US",2.67621033535979e-05
"194","S00300/US","331410/US",2.6722043985415e-05
"749","541200/US","332720/US",2.67171316468448e-05
"1105","423800/US","336310/US",2.67077792303963e-05
"1325","332720/US","322230/US",2.6707047320875e-05
"335","811300/US","33211A/US",2.66859257125321e-05
"1078","531ORE/US","333613/US",2.65882742109414e-05
"756","561400/US","332720/US",2.65840029692278e-05
"1442","334413/US","326120/US",2.6576939713677e-05
"1204","332710/US","336390/US",2.65669971368527e-05
"1016","327910/US","33351B/US",2.65587902052436e-05
"706","561900/US","332710/US",2.65279165196294e-05
"462","52A000/US","332310/US",2.64584703615778e-05
"1393","541800/US","322299/US",2.64139945605601e-05
"1318","325520/US","322220/US",2.63975029671099e-05
"1077","524200/US","333613/US",2.63905045261798e-05
"500","52A000/US","332320/US",2.63772703302028e-05
"1059","331520/US","333613/US",2.63527883239125e-05
"1566","541512/US","562000/US",2.63166090714419e-05
"1585","221300/US","GSLGO/US",2.62790973174342e-05
"949","331510/US","333414/US",2.62335537241469e-05
"1567","541200/US","562000/US",2.62112780055742e-05
"794","326110/US","332800/US",2.61988764948457e-05
"1300","424400/US","322210/US",2.61467376502225e-05
"387","424700/US","332119/US",2.6139133650533e-05
"1429","322210/US","326110/US",2.61313134473397e-05
"1273","332310/US","336500/US",2.60840353964627e-05
"481","331490/US","332320/US",2.60723177805183e-05
"1313","S00300/US","322210/US",2.60631488918838e-05
"392","483000/US","332119/US",2.60617176174914e-05
"1439","332710/US","326120/US",2.60195879280261e-05
"1227","550000/US","336390/US",2.60121243555664e-05
"239","541800/US","331520/US",2.59333969871729e-05
"25","493000/US","321200/US",2.58587539850759e-05
"574","334418/US","332430/US",2.58080399351611e-05
"1540","335120/US","562000/US",2.58054904344017e-05
"653","522A00/US","332600/US",2.58043837180583e-05
"213","484000/US","331510/US",2.57981562071449e-05
"37","332800/US","321910/US",2.57339181346621e-05
"772","33211A/US","332800/US",2.57288368940827e-05
"1368","325211/US","322291/US",2.57041480966717e-05
"234","518200/US","331520/US",2.56395392929359e-05
"1099","336320/US","336310/US",2.54872128599773e-05
"1256","325211/US","3363A0/US",2.54739450392706e-05
"836","33131B/US","332996/US",2.54315713465979e-05
"817","561700/US","332800/US",2.54151329353732e-05
"499","518200/US","332320/US",2.5390856302895e-05
"967","423A00/US","333511/US",2.53785803446937e-05
"493","423600/US","332320/US",2.52904856010766e-05
"141","S00300/US","331200/US",2.52902800862787e-05
"822","331420/US","332913/US",2.52833631771698e-05
"1115","332710/US","336320/US",2.52521954336562e-05
"1212","3363A0/US","336390/US",2.52363296990073e-05
"1285","230301/US","322210/US",2.52228747652577e-05
"79","331200/US","331110/US",2.52173827318854e-05
"147","484000/US","331313/US",2.51963112273476e-05
"1362","561700/US","322230/US",2.51863562107514e-05
"1516","48A000/US","326150/US",2.51712184294968e-05
"190","322210/US","331410/US",2.51333479919522e-05
"510","561900/US","332320/US",2.50368098749041e-05
"89","327992/US","331200/US",2.50339020314342e-05
