"","input","output","value"
"1301","424A00/US","322210/US",0.000214380661522622
"1471","325211/US","326130/US",0.000214249307768949
"143","331313/US","331313/US",0.000213591544988512
"606","221100/US","332600/US",0.000212189305331652
"384","423800/US","332119/US",0.000211757372076626
"869","331200/US","332999/US",0.000211601236548712
"863","221100/US","332999/US",0.000210648431328357
"1235","331520/US","3363A0/US",0.000210509627488829
"180","2122A0/US","331410/US",0.000209127036770312
"627","332720/US","332600/US",0.000206006542290166
"743","531ORE/US","332720/US",0.000203434800677353
"679","331110/US","332710/US",0.000203392607682054
"1346","484000/US","322230/US",0.000202508831635053
"277","484000/US","332114/US",0.000202393981728801
"458","423A00/US","332310/US",0.000201046764973706
"712","33131B/US","332720/US",0.000198901634760884
"371","336390/US","332119/US",0.000198423720247075
"1232","331110/US","3363A0/US",0.000197667322826035
"715","331510/US","332720/US",0.000195703670133659
"8","113000/US","321200/US",0.000195651177293005
"388","424A00/US","332119/US",0.000193133650945088
"166","484000/US","33131B/US",0.000193120834549532
"423","561600/US","332119/US",0.000192400993391075
"1347","493000/US","322230/US",0.000189964447712847
"122","484000/US","331200/US",0.000189476860639554
"342","331200/US","332119/US",0.00018932163521307
"530","332996/US","332420/US",0.000189041449532246
"304","331313/US","33211A/US",0.000188837945592758
"831","332991/US","332991/US",0.00018780089374193
"1379","322210/US","322299/US",0.000187534000023179
"433","S00300/US","332119/US",0.000187409817592951
"626","332710/US","332600/US",0.000186909801088445
"1071","423800/US","333613/US",0.000185442019803035
"793","3259A0/US","332800/US",0.000185380807001999
"1058","331510/US","333613/US",0.000183327689192041
"156","332710/US","33131B/US",0.000181979117814115
"982","333514/US","333514/US",0.000175839208891741
"753","550000/US","332720/US",0.000175406133268399
"718","33211A/US","332720/US",0.000175086191038017
"416","5419A0/US","332119/US",0.000172179295048643
"707","221100/US","332720/US",0.00017153148892805
"638","326110/US","332600/US",0.000170231896522438
"300","221100/US","33211A/US",0.000170062731931851
"591","331110/US","332500/US",0.000169942489276972
"1342","424200/US","322230/US",0.000167968408688154
"402","523A00/US","332119/US",0.000167932199136495
"364","333514/US","332119/US",0.000167611103156408
"634","335920/US","332600/US",0.000165530995223444
"350","33211A/US","332119/US",0.000163826123359473
"1572","561300/US","562000/US",0.000162601621270547
"575","325510/US","332430/US",0.000161145139167842
"1571","550000/US","562000/US",0.000160977806123248
"948","331110/US","333414/US",0.000160326443886402
"1377","322120/US","322299/US",0.000159717530309973
"810","531ORE/US","332800/US",0.000158841325414397
"583","484000/US","332430/US",0.000158303599664098
"1329","322110/US","322230/US",0.00015692465026401
"395","493000/US","332119/US",0.000156077359018835
"447","332310/US","332310/US",0.000155769226812243
"1588","324110/US","GSLGO/US",0.000154940915678449
"519","33131B/US","332420/US",0.000154528168593751
"492","3259A0/US","332320/US",0.000152918261676217
"383","423600/US","332119/US",0.000152526097446446
"1503","326110/US","326150/US",0.000152477782736971
"903","423600/US","332999/US",0.00015136381300152
