"","Before","After"
"Detail_Make_2017",9.37256532338714,5.5273726773109
"Summary_Make_2017",7.5525913358224,3.78762642475818
"Summary_Make_2018",7.6219204014057,3.83722955467918
"Summary_Make_2019",7.61257583060151,3.79278744594435
"Summary_Make_2020",7.53077431174509,3.77418473850384
"Summary_Make_2021",7.54587969426342,3.86644915875205
"Summary_Make_2022",7.68392179765579,3.8301086066435
