FacilityID,FlowName,Compartment,FlowAmount,Unit,DataReliability,Source,Year,FRS_ID,State,County,Location,NAICS
14623211,PM2.5 Primary (Filt + Cond),air,720.424445553451,kg,5.0,NEI,2020,110009068374,Connecticut,New haven,09009,331315
14623211,Sulfur Dioxide,air,6.00692194154052,kg,4.952202054580398,NEI,2020,110009068374,Connecticut,New haven,09009,331315
14623211,Volatile Organic Compounds,air,30001.37429253978,kg,4.0182997730922905,NEI,2020,110009068374,Connecticut,New haven,09009,331315
15040011,Carbon Dioxide,air,2251215.2196996002,kg,2.0,NEI,2020,110043419903,Wisconsin,Manitowoc,55071,331314
15040011,Carbon Monoxide,air,1575.8506537897201,kg,2.0,NEI,2020,110043419903,Wisconsin,Manitowoc,55071,331314
15040011,Nitrogen Oxides,air,24008.036330324197,kg,2.0,NEI,2020,110043419903,Wisconsin,Manitowoc,55071,331314
15040011,PM2.5 Primary (Filt + Cond),air,9556.43754681801,kg,2.0,NEI,2020,110043419903,Wisconsin,Manitowoc,55071,331314
15040011,Sulfur Dioxide,air,44.958714937290004,kg,2.0,NEI,2020,110043419903,Wisconsin,Manitowoc,55071,331314
15040011,Volatile Organic Compounds,air,11332.343973120462,kg,2.0,NEI,2020,110043419903,Wisconsin,Manitowoc,55071,331314
15066411,Carbon Monoxide,air,19306.070607362,kg,2.874476653211975,NEI,2020,110039564183,Michigan,Kalamazoo,26077,331314
15066411,Nitrogen Oxides,air,63662.14272187001,kg,2.948265420267757,NEI,2020,110039564183,Michigan,Kalamazoo,26077,331314
15066411,PM2.5 Primary (Filt + Cond),air,8732.174390851604,kg,2.0,NEI,2020,110039564183,Michigan,Kalamazoo,26077,331314
15066411,Sulfur Dioxide,air,120.2518732107,kg,2.0,NEI,2020,110039564183,Michigan,Kalamazoo,26077,331314
15066411,Volatile Organic Compounds,air,10186.1106646761,kg,2.115200344844016,NEI,2020,110039564183,Michigan,Kalamazoo,26077,331314
15067911,Carbon Monoxide,air,2.8032008466,kg,2.0,NEI,2020,110037578387,Michigan,Muskegon,26121,331314
15067911,Nitrogen Oxides,air,1044.441791162,kg,2.0,NEI,2020,110037578387,Michigan,Muskegon,26121,331314
