"","Before","After"
"Detail_Make_2017",9.37256532338714,5.5273726773109
"Summary_Make_2017",7.5525913358224,3.78762642475818
"Summary_Make_2018",7.6219204014057,3.83722955467918
"Summary_Make_2019",7.61257583060151,3.79278744594435
"Summary_Make_2020",7.51982035253005,3.77286709421999
"Summary_Make_2021",7.5583253034292,3.84815441123552
"Summary_Make_2022",7.66680124813374,3.80129385198578
